product_1_star,product_2_star,product_3_star,product_4_star,product_5_star,product_avg_rating,product_img,product_num_reviews,product_url,ID
4%,2%,4%,13%,77%,4.6,https://images-na.ssl-images-amazon.com/images/I/41cUTNQUzxL.__AC_SX300_SY300_QL70_ML2_.jpg,"1652",https://www.amazon.com/Wireless-Bluetooth-Headphones-Aresrora-Limiting/dp/B0824LRWXS,AMZN-90
3%,1%,4%,14%,77%,4.6,https://m.media-amazon.com/images/I/71MIFjdi+mL._AC_SY300_SX300_.jpg,"1688",https://www.amazon.com/iClever-Headphones-Colorful-Wireless-Bluetooth/dp/B0895PBJCQ,AMZN-91
3%,1%,5%,10%,81%,4.6,https://images-na.ssl-images-amazon.com/images/I/71C79YXLxqL.__AC_SX300_SY300_QL70_ML2_.jpg,"1846",https://www.amazon.com/Bose-QuietComfort-Headphones-Samsung-Android/dp/B00XLIFRZQ,AMZN-92
3%,2%,4%,13%,78%,4.6,https://images-na.ssl-images-amazon.com/images/I/61j4ft3GeOL.__AC_SX300_SY300_QL70_ML2_.jpg,"2002",https://www.amazon.com/JBL-T600BTNC-Cancelling-Bluetooth-Headphone/dp/B07PGR1KF9,AMZN-93
3%,2%,6%,11%,79%,4.6,https://images-na.ssl-images-amazon.com/images/I/71QYkHDWotL.__AC_SY300_SX300_QL70_ML2_.jpg,"2021",https://www.amazon.com/eKids-Bluetooth-Headphones-Microphone-Adjustable/dp/B07VGP7C9S,AMZN-94
3%,0%,6%,12%,80%,4.7,https://images-na.ssl-images-amazon.com/images/I/619bdx-q9KL.__AC_SX300_SY300_QL70_ML2_.jpg,"62",https://www.amazon.com/HarmonicDyne-Beryllium-Headphone-High-Definition-Performance/dp/B08L3MMGY8,AMZN-95
3%,2%,4%,15%,77%,4.6,https://images-na.ssl-images-amazon.com/images/I/61q2zYSX7DL.__AC_SX300_SY300_QL70_ML2_.jpg,"2145",https://www.amazon.com/JBL-Tune-510BT-Ear-Headphones/dp/B08WM3LMJF,AMZN-96
3%,1%,6%,11%,79%,4.6,https://images-na.ssl-images-amazon.com/images/I/618oRVqegLL.__AC_SX300_SY300_QL70_ML2_.jpg,"540",https://www.amazon.com/Headphones-Yinyoo-Earphones-Balanced-mic/dp/B07QTPSTHM,AMZN-97
0%,0%,6%,12%,82%,4.8,https://m.media-amazon.com/images/I/71LUj+SG4ZL._AC_SX300_SY300_.jpg,"30",https://www.amazon.com/eKids-Bluetooth-Headphones-Wireless-Microphone/dp/B08X8LJMHN,AMZN-98
2%,1%,7%,11%,79%,4.6,https://images-na.ssl-images-amazon.com/images/I/61sA7sOgcKL.__AC_SX300_SY300_QL70_ML2_.jpg,"546",https://www.amazon.com/Headphones-VoliDog-Function-Protection-Material/dp/B07YZCXBV6,AMZN-99
3%,3%,5%,12%,77%,4.6,https://images-na.ssl-images-amazon.com/images/I/61BCb83XNxL.__AC_SX300_SY300_QL70_ML2_.jpg,"801",https://www.amazon.com/JBL-Bluetooth-Headphone-Blue-E55BT/dp/B01MXV1WE5,AMZN-100
3%,3%,3%,12%,80%,4.6,https://images-na.ssl-images-amazon.com/images/I/41Midcw9pmL.__AC_SY300_SX300_QL70_ML2_.jpg,"792",https://www.amazon.com/Sony-Mdr-cd900st-Studio-Monitor-Headphones/dp/B000UPEJCU,AMZN-101
4%,3%,4%,12%,77%,4.6,https://images-na.ssl-images-amazon.com/images/I/61Vgic5YSsS.__AC_SX300_SY300_QL70_ML2_.jpg,"616",https://www.amazon.com/Headphones-Microphone-iClever-HS20-Shareport/dp/B071D9JHKG,AMZN-102
