product_1_star,product_2_star,product_3_star,product_4_star,product_5_star,product_avg_rating,product_img,product_num_reviews,product_url,ID
18%,3%,15%,9%,56%,"3.8""",https://images-na.ssl-images-amazon.com/images/I/61bQAGKTlRL.__AC_SX300_SY300_QL70_ML2_.jpg,41,https://www.amazon.com/HIFIMAN-Ananda-BT-High-Resolution-Bluetooth-Full-Size/dp/B07X52DHH8,AMZN-44
0%,0%,0%,0%,100%,"5.0""",https://images-na.ssl-images-amazon.com/images/I/61bfOmX8nqL.__AC_SX300_SY300_QL70_ML2_.jpg,5,https://www.amazon.com/Audeze-LCD-2-Classic-Over-Ear-Headphone/dp/B098881M9V,AMZN-45
3%,5%,8%,9%,75%,"4.5""",https://m.media-amazon.com/images/I/81ogW+IrUkL._AC_SY300_SX300_.jpg,106,https://www.amazon.com/Audeze-Classic-Headphone-Suspension-Headband/dp/B078922QVD,AMZN-46
5%,7%,10%,12%,65%,"4.2""",https://images-na.ssl-images-amazon.com/images/I/41CbEPdEVPL._SX300_SY300_QL70_ML2_.jpg,136,https://www.amazon.com/beyerdynamic-Second-Generation-Audiophile-Headphone/dp/B01BCD3DRA,AMZN-47
5%,3%,10%,16%,67%,"4.4""",https://images-na.ssl-images-amazon.com/images/I/71ApcuVMXaL.__AC_SX300_SY300_QL70_ML2_.jpg,159,https://www.amazon.com/Comfortable-Wireless-Cancelling-Headphones-Protective/dp/B09HC339ZG,AMZN-48
6%,10%,8%,15%,61%,"4.1""",https://images-na.ssl-images-amazon.com/images/I/71mwJn8IlJL.__AC_SX300_SY300_QL70_ML2_.jpg,39,https://www.amazon.com/beyerdynamic-High-end-Tesla-Headphones-Generation/dp/B08FRFK66Q,AMZN-49
9%,7%,4%,8%,73%,"4.3""",https://images-na.ssl-images-amazon.com/images/I/81-PY8bkVTL.__AC_SX300_SY300_QL70_ML2_.jpg,42,https://www.amazon.com/beyerdynamic-High-end-Tesla-Headphones-Generation/dp/B08FRHD179,AMZN-50
21%,17%,19%,19%,23%,"3.1""",https://m.media-amazon.com/images/I/618y+vkcTVL._AC_SY300_SX300_.jpg,29,https://www.amazon.com/Ultrasone-Palladium-Professional-Closed-back-Headphones/dp/B002ZQ0JNA,AMZN-51
0%,0%,0%,0%,100%,"5.0""",https://images-na.ssl-images-amazon.com/images/I/41VGA0RRQWL.__AC_SX300_SY300_QL70_ML2_.jpg,2,https://www.amazon.com/AKG-K501-Hi-Fi-Headphones/dp/B0000D8BM7,AMZN-52
8%,3%,6%,10%,74%,"4.4""",https://images-na.ssl-images-amazon.com/images/I/71JYnWdNvhL.__AC_SX300_SY300_QL70_ML2_.jpg,535,https://www.amazon.com/beyerdynamic-DT-1770-Studio-Headphone/dp/B0142FEWD4,AMZN-53
10%,5%,12%,18%,54%,"4.0""",https://m.media-amazon.com/images/I/41rw0+B2roL._AC_SY300_SX300_.jpg,1242,https://www.amazon.com/Sony-MDR-IF240RK-Wireless-Headphone-System/dp/B000095SB4,AMZN-54
16%,6%,8%,25%,45%,"3.8""",https://m.media-amazon.com/images/I/617oLl0bt+L._AC_SY300_SX300_.jpg,422,https://www.amazon.com/Sony-MDR-HW700DS-Wireless-Headphone-100-240V/dp/B00FJISYZQ,AMZN-55
8%,6%,7%,15%,64%,"4.2""",https://images-na.ssl-images-amazon.com/images/I/61zDXUfnr-L.__AC_SX300_SY300_QL70_ML2_.jpg,2153,https://www.amazon.com/Bowers-Wilkins-Cancelling-Wireless-Headphones/dp/B0756XMGV1,AMZN-56
15%,9%,10%,9%,58%,"3.9""",https://images-na.ssl-images-amazon.com/images/I/714J3NP0wrL.__AC_SY300_SX300_QL70_ML2_.jpg,103,https://www.amazon.com/Ultrasone-PRO-900-Professional-Closed-back/dp/B001F00F0E,AMZN-57
4%,7%,10%,15%,63%,"4.3""",https://images-na.ssl-images-amazon.com/images/I/41RXud3KGRL.__AC_SX300_SY300_QL70_ML2_.jpg,678,https://www.amazon.com/Sony-MDRRF925RK-Headphone-Discontinued-Manufacturer/dp/B000OEV88K,AMZN-58
3%,2%,4%,10%,82%,"4.7""",https://images-na.ssl-images-amazon.com/images/I/519EahgX90L.__AC_SY300_SX300_QL70_ML2_.jpg,21100,https://www.amazon.com/Sony-Noise-Cancelling-Headphones-WH1000XM3/dp/B07G4MNFS1,AMZN-59
19%,6%,6%,26%,43%,"3.7""",https://images-na.ssl-images-amazon.com/images/I/81pesC8PoZL.__AC_SX300_SY300_QL70_ML2_.jpg,29,https://www.amazon.com/Audio-Technica-ATH-W1000Z-Audiophile-Headphones/dp/B00UH2ULTG,AMZN-60
17%,0%,36%,23%,24%,"3.4""",https://images-na.ssl-images-amazon.com/images/I/41mo3ggJywL.__AC_SY300_SX300_QL70_ML2_.jpg,26,https://www.amazon.com/Sony-MDR-DS7500-Wireless-Surround-Headphones/dp/B005LA53D8,AMZN-61
0%,8%,0%,17%,75%,"4.6""",https://images-na.ssl-images-amazon.com/images/I/71-MImvnEPL.__AC_SX300_SY300_QL70_ML2_.jpg,45,https://www.amazon.com/Technica-ATH-A1000Z-Monitor-Dynamic-Headphones/dp/B016DD8HVQ,AMZN-62
6%,7%,7%,11%,68%,"4.3""",https://images-na.ssl-images-amazon.com/images/I/51nLOw0SxHL.__AC_SX300_SY300_QL70_ML2_.jpg,215,https://www.amazon.com/Bang-Olufsen-Beoplay-H9-3rd/dp/B086NG9YN2,AMZN-63
6%,5%,4%,17%,68%,"4.4""",https://images-na.ssl-images-amazon.com/images/I/81oDKZvipvL.__AC_SY300_SX300_QL70_ML2_.jpg,43,https://www.amazon.com/Sony-MDR-Z7M2-Overhead-Headphones-International/dp/B07GT5F5FN,AMZN-64
9%,6%,7%,14%,65%,"4.2""",https://images-na.ssl-images-amazon.com/images/I/711Urv4JzuL.__AC_SX300_SY300_QL70_ML2_.jpg,802,https://www.amazon.com/Sennheiser-RS-195-Wireless-Headphone/dp/B00SJ4INFI,AMZN-65
3%,2%,5%,12%,77%,"4.6""",https://m.media-amazon.com/images/I/71JkDA5Pm+L._AC_SY300_SX300_.jpg,3648,https://www.amazon.com/V-MODA-Crossfade-Over-Headphones-Gunmetal/dp/B003BYRGKY,AMZN-66
8%,12%,22%,11%,47%,"3.8""",https://images-na.ssl-images-amazon.com/images/I/71D0SQz3e5L.__AC_SX300_SY300_QL70_ML2_.jpg,64,https://www.amazon.com/Technics-Bluetooth-Headphones-Dynamic-Tuned-Cancelling/dp/B07VDN7X4N,AMZN-67
0%,33%,0%,0%,67%,"4.0""",https://images-na.ssl-images-amazon.com/images/I/61-7go54VNL.__AC_SX300_SY300_QL70_ML2_.jpg,3,https://www.amazon.com/Jabra-Evolve2-85-USB-Headphones/dp/B08JCYK59V,AMZN-68
4%,3%,8%,14%,72%,"4.5""",https://m.media-amazon.com/images/I/61QG3++KTUL._AC_SY300_SX300_.jpg,283,https://www.amazon.com/Focal-Audiophile-Circum-Aural-Closed-Back-Headphones/dp/B07J5MDMTQ,AMZN-69
0%,0%,0%,0%,100%,"5.0""",https://images-na.ssl-images-amazon.com/images/I/51q4m0LyOLL.__AC_SY300_SX300_QL70_ML2_.jpg,1,https://www.amazon.com/Monolith-Magnetic-Headphones-Removable-Connector/dp/B09M7L638X,AMZN-70
12%,9%,17%,17%,45%,"3.7""",https://images-na.ssl-images-amazon.com/images/I/61vI72SQCWL.__AC_SX300_SY300_QL70_ML2_.jpg,181,https://www.amazon.com/Bang-Olufsen-Wireless-Headphone-Cancelling/dp/B00R45Z2WU,AMZN-71
7%,5%,8%,17%,63%,"4.2""",https://images-na.ssl-images-amazon.com/images/I/61CMr-EjHPL.__AC_SX300_SY300_QL70_ML2_.jpg,2743,https://www.amazon.com/SENNHEISER-NoiseGard-Cancelling-Bluetooth-Headphone/dp/B07ZPQQCVX,AMZN-72
5%,4%,15%,8%,69%,"4.3""",https://images-na.ssl-images-amazon.com/images/I/71DmJRYJxAL.__AC_SX300_SY300_QL70_ML2_.jpg,245,https://www.amazon.com/beyerdynamic-Amiron-high-end-stereo-headphone/dp/B01LZQ8N6E,AMZN-73
10%,7%,10%,18%,54%,"4.0""",https://images-na.ssl-images-amazon.com/images/I/71-q3hHmmWL.__AC_SY300_SX300_QL70_ML2_.jpg,289,https://www.amazon.com/JBL-E45BTBLU-Ear-Wireless-Headphones/dp/B01M9BI8DS,AMZN-74
0%,0%,29%,10%,61%,"4.3""",https://images-na.ssl-images-amazon.com/images/I/81MZWe8GcML.__AC_SX300_SY300_QL70_ML2_.jpg,14,https://www.amazon.com/Reference-Class-Auto-Calibrating-Cancelling-Headphones/dp/B019MA5SGE,AMZN-75
12%,0%,0%,11%,77%,"4.4""",https://images-na.ssl-images-amazon.com/images/I/51hSbvkBiTL.__AC_SX300_SY300_QL70_ML2_.jpg,17,https://www.amazon.com/AIAIAI-TMA-2-Headphones-Definition-Alcantara/dp/B0821RNCWP,AMZN-76
15%,0%,15%,0%,70%,"4.1""",https://images-na.ssl-images-amazon.com/images/I/51JhfaL7DLL.__AC_SX300_SY300_QL70_ML2_.jpg,9,https://www.amazon.com/AIAIAI-TMA-2-Wireless-Headphones-Definition/dp/B0821SWL27,AMZN-77
0%,0%,0%,0%,100%,"5.0""",https://images-na.ssl-images-amazon.com/images/I/513IzKSsG3S.__AC_SX300_SY300_QL70_ML2_.jpg,1,https://www.amazon.com/V-MODA-Crossfade-Wireless-Codex-Qualcomm/dp/B0922NQVFY,AMZN-78
9%,11%,11%,30%,39%,"3.8""",https://images-na.ssl-images-amazon.com/images/I/71XgK1sntmL.__AC_SX300_SY300_QL70_ML2_.jpg,21,https://www.amazon.com/Magnat-LZR-Premium-Over-Ear-Headphones/dp/B00NZYVUM0,AMZN-79
10%,9%,17%,16%,48%,"3.8""",https://images-na.ssl-images-amazon.com/images/I/41NkycFbXqL.__AC_SX300_SY300_QL70_ML2_.jpg,112,https://www.amazon.com/Sony-MDR1RNC-Premium-Noise-Canceling-Headphones/dp/B009A6CZ44,AMZN-80
4%,2%,4%,12%,77%,"4.6""",https://images-na.ssl-images-amazon.com/images/I/81d3fB4VeDL.__AC_SX300_SY300_QL70_ML2_.jpg,6182,https://www.amazon.com/Audio-Technica-ATH-M50xBT-Wireless-Bluetooth-Headphones/dp/B07HKVCVSY,AMZN-81
11%,16%,4%,19%,50%,"3.8""",https://images-na.ssl-images-amazon.com/images/I/710M89iaHkL.__AC_SX300_SY300_QL70_ML2_.jpg,24,https://www.amazon.com/Plantronics-Voyager-8200-UC-Bluetooth-208769-01/dp/B07C3CLVC6,AMZN-82
2%,2%,4%,8%,84%,"4.7""",https://images-na.ssl-images-amazon.com/images/I/81BOkzZcSfL.__AC_SX300_SY300_QL70_ML2_.jpg,2373,https://www.amazon.com/Sennheiser-HD-650-Professional-Headphone/dp/B00018MSNI,AMZN-83
3%,2%,3%,9%,83%,"4.7""",https://images-na.ssl-images-amazon.com/images/I/71oayBSFUYL.__AC_SX300_SY300_QL70_ML2_.jpg,775,https://www.amazon.com/Sony-WH-1000XM4-Wireless-Noise-Cancelling-Headphones/dp/B08HY4TQ51,AMZN-84
4%,3%,7%,12%,74%,"4.5""",https://images-na.ssl-images-amazon.com/images/I/71W7TYRyMUL.__AC_SX300_SY300_QL70_ML2_.jpg,2994,https://www.amazon.com/V-MODA-Crossfade-Over-Ear-Noise-Isolating-Headphone/dp/B00A39PPDK,AMZN-85
12%,6%,7%,13%,62%,"4.1""",https://images-na.ssl-images-amazon.com/images/I/816KTZYOOaL.__AC_SX300_SY300_QL70_ML2_.jpg,695,https://www.amazon.com/Bowers-Wilkins-P7-Wired-Headphones/dp/B00F6PRSMW,AMZN-86
15%,11%,14%,15%,45%,"3.6""",https://images-na.ssl-images-amazon.com/images/I/61XbIo0dHcL.__AC_SX300_SY300_QL70_ML2_.jpg,47,https://www.amazon.com/Skullcandy-Unisex-Master-Black-Headphones/dp/B007GN0892,AMZN-87
5%,2%,4%,8%,82%,"4.6""",https://images-na.ssl-images-amazon.com/images/I/61mq3DocJ1L.__AC_SX300_SY300_QL70_ML2_.jpg,203,https://www.amazon.com/Bose-Cancelling-Bluetooth-Headphones-Soapstone/dp/B084HP2PTN,AMZN-88
5%,0%,3%,12%,81%,"4.6""",https://images-na.ssl-images-amazon.com/images/I/61KuCFrM3IL.__AC_SX300_SY300_QL70_ML2_.jpg,60,https://www.amazon.com/Headphones-compatible-Smartphones-Certified-Refurbished/dp/B079LG2KHJ,AMZN-89
5%,0%,29%,12%,54%,"4.1""",https://images-na.ssl-images-amazon.com/images/I/71z5Nd0e84L.__AC_SX300_SY300_QL70_ML2_.jpg,44,https://www.amazon.com/SIVGA-P-%E2%85%A1-Walnut-Magnetic-Headphone/dp/B082XWQ2YL,AMZN-90
4%,7%,8%,16%,65%,"4.3""",https://images-na.ssl-images-amazon.com/images/I/61FbeDXOPHL.__AC_SX300_SY300_QL70_ML2_.jpg,582,https://www.amazon.com/Bowers-Wilkins-Bluetooth-Headphone-Cancelling/dp/B07WK6SGZC,AMZN-91
7%,10%,0%,19%,63%,"4.2""",https://images-na.ssl-images-amazon.com/images/I/71lPzIiYVPL.__AC_SX300_SY300_QL70_ML2_.jpg,14,https://www.amazon.com/Bose-QuietComfort-Wireless-Headphones-Over/dp/B0785TZS3K,AMZN-92
5%,5%,9%,19%,62%,"4.3""",https://images-na.ssl-images-amazon.com/images/I/31lIwMurmnL.__AC_QL70_ML2_.jpg,313,https://www.amazon.com/Sony-MDR-V600-Headphone-Discontinued-Manufacturer/dp/B00001W0DI,AMZN-93
